dataset,sample_size,feature_size,stump,capping_ratio,pre_process_time,running_time,optimal_value
covtype,581012,54,ZDDStump,0.1,30.509084644,1.071286646,1
covtype,581012,54,DStump,0.1,2.407550999,2.561053383,1
covtype,581012,54,ZDDStump,0.2,29.896775601,1.05907137,1
covtype,581012,54,DStump,0.2,2.388480764,2.4960529129999998,1
covtype,581012,54,ZDDStump,0.30000000000000004,29.454320758,1.058974246,1
covtype,581012,54,DStump,0.30000000000000004,2.406428212,2.48390227,1
covtype,581012,54,ZDDStump,0.4,29.370759472,1.064534898,1
covtype,581012,54,DStump,0.4,2.39798674,2.497599258,1
covtype,581012,54,ZDDStump,0.5,29.351638382,1.063886894,1
covtype,581012,54,DStump,0.5,2.404441017,2.500428508,1
covtype,581012,54,ZDDStump,0.6000000000000001,29.448533833,1.047552144,1
covtype,581012,54,DStump,0.6000000000000001,2.404210459,2.531526612,1
covtype,581012,54,ZDDStump,0.7000000000000001,29.767719357,1.092996334,1
covtype,581012,54,DStump,0.7000000000000001,2.412484132,2.632432601,1
covtype,581012,54,ZDDStump,0.8,29.713425907,1.066049668,1
covtype,581012,54,DStump,0.8,2.420566668,2.535441338,1
gisette_scale,6000,5000,ZDDStump,0.1,129.198924359,911.268699233,0.05744791778633405
gisette_scale,6000,5000,DStump,0.1,4.838426834,2226.567811965,0.06017661862413872
gisette_scale,6000,5000,ZDDStump,0.2,109.568933898,68.524589527,0.08513224338230806
gisette_scale,6000,5000,DStump,0.2,4.769771001,310.634703472,0.08421175667610475
gisette_scale,6000,5000,ZDDStump,0.30000000000000004,105.109988929,28.923789887,0.12187884822821066
gisette_scale,6000,5000,DStump,0.30000000000000004,4.756373922,139.806277834,0.12330485812450395
gisette_scale,6000,5000,ZDDStump,0.4,103.962201599,12.199215497,0.19933333333343758
gisette_scale,6000,5000,DStump,0.4,4.755932117,55.649481092,0.19675925925928123
gisette_scale,6000,5000,ZDDStump,0.5,103.939241913,3.41222207,0.35200000000004666
gisette_scale,6000,5000,DStump,0.5,4.761738483,14.365791149,0.35200000000004666
gisette_scale,6000,5000,ZDDStump,0.6000000000000001,103.567195003,1.888136263,0.46944444444436767
gisette_scale,6000,5000,DStump,0.6000000000000001,4.746795733,6.17162385,0.46944444444436767
gisette_scale,6000,5000,ZDDStump,0.7000000000000001,103.772648016,1.87553704,0.5371428571428156
gisette_scale,6000,5000,DStump,0.7000000000000001,4.749250266,6.17270775,0.5371428571428156
gisette_scale,6000,5000,ZDDStump,0.8,108.85431031,1.492346234,0.5999999999999921
gisette_scale,6000,5000,DStump,0.8,4.764053235,4.110111498,0.5999999999999921
