dataset,sample_size,feature_size,stump,capping_ratio,pre_process_time,running_time,iterations,test_error,optimal_value
banana,150,2,NaiveLtf,0.1,0.002069923,0.00629031,6,0.57,-0.000000000000000027755575615628914
banana,150,2,NaiveLtf,0.2,0.002077497,0.009470508,11,0.57,-0.06666666666666662
banana,150,2,NaiveLtf,0.30000000000000004,0.002069386,0.010670485,11,0.57,-0.0888888888888889
banana,150,2,NaiveLtf,0.4,0.00209156,0.007457216,7,0.57,-0.20000000000000068
banana,150,2,NaiveLtf,0.5,0.002107601,0.009003769,8,0.57,-0.10666666666666669
banana,150,2,NaiveLtf,0.6000000000000001,0.00210386,0.008508894,7,0.57,-0.02222222222222184
banana,150,2,NaiveLtf,0.7000000000000001,0.002061369,0.008764178,7,0.57,-0.01904761904761905
banana,150,2,NaiveLtf,0.8,0.002088324,0.006505652,5,0.35,0.016666666666667718
breast_cancer,150,3,NaiveLtf,0.1,0.002090947,0.008720898,11,0.69,-0.000000000000000027755575615628914
breast_cancer,150,3,NaiveLtf,0.2,0.002154793,0.006168229,7,0.69,-0.2
breast_cancer,150,3,NaiveLtf,0.30000000000000004,0.002071734,0.006195725,6,0.69,0.000000000000000006938893903907228
breast_cancer,150,3,NaiveLtf,0.4,0.002089694,0.006658335,6,0.69,-0.000000000000001394717674685353
breast_cancer,150,3,NaiveLtf,0.5,0.002056115,0.004886179,4,0.68,-0.040000000000001354
breast_cancer,150,3,NaiveLtf,0.6000000000000001,0.002056184,0.006671985,5,0.31,0.08888888888888889
breast_cancer,150,3,NaiveLtf,0.7000000000000001,0.002114769,0.004235456,3,0.31,0.21904761904761896
breast_cancer,150,3,NaiveLtf,0.8,0.002066657,0.002946803,2,0.31,0.3166666666666679
diabetis,150,3,NaiveLtf,0.1,0.002072878,0.007844193,9,0.7,-0.06666666666666667
diabetis,150,3,NaiveLtf,0.2,0.002120255,0.007842077,8,0.69,-0.06666666666666668
diabetis,150,3,NaiveLtf,0.30000000000000004,0.002078414,0.010391129,10,0.7,0.000000000000000006938893903907228
diabetis,150,3,NaiveLtf,0.4,0.002102444,0.006062539,5,0.7,-0.09999999999999998
diabetis,150,3,NaiveLtf,0.5,0.002062019,0.007642899,6,0.22,0.09333333333333334
diabetis,150,3,NaiveLtf,0.6000000000000001,0.002057396,0.003280084,2,0.2,0.24444444444444433
diabetis,150,3,NaiveLtf,0.7000000000000001,0.002063102,0.003497682,2,0.2,0.4095238095238098
diabetis,150,3,NaiveLtf,0.8,0.002065676,0.003694415,2,0.2,0.4500000000000016
flare_solar,144,3,NaiveLtf,0.1,0.002064222,0.004573828,6,0.36,0
flare_solar,144,3,NaiveLtf,0.2,0.002066176,0.004551817,5,0.36,-0.048611111111111285
flare_solar,144,3,NaiveLtf,0.30000000000000004,0.00207141,0.004467301,5,0.36,0.000000000000000020816681711721685
flare_solar,144,3,NaiveLtf,0.4,0.002075778,0.005232395,5,0.36,0.006944444444445669
flare_solar,144,3,NaiveLtf,0.5,0.002072943,0.00665398,6,0.36,-0.000000000000000006938893903907228
flare_solar,144,3,NaiveLtf,0.6000000000000001,0.002086337,0.00727402,6,0.36,-0.005787037037037025
flare_solar,144,3,NaiveLtf,0.7000000000000001,0.002072092,0.004880787,4,0.36,-0.007936507936509352
flare_solar,144,3,NaiveLtf,0.8,0.002065621,0.002627679,2,0.36,0.13194444444444237
german,150,3,NaiveLtf,0.1,0.002074889,0.008199807,10,0.59,0.000000000000000027755575615628914
german,150,3,NaiveLtf,0.2,0.002110908,0.005658721,6,0.59,-0.000000000000000013877787807814457
german,150,3,NaiveLtf,0.30000000000000004,0.002062426,0.00664603,6,0.47,-0.022222222222222213
german,150,3,NaiveLtf,0.4,0.002102486,0.008269629,7,0.59,-0.03333333333333366
german,150,3,NaiveLtf,0.5,0.002087399,0.007536114,6,0.34,0.01333333333333333
german,150,3,NaiveLtf,0.6000000000000001,0.002064861,0.007834094,6,0.29,0.0888888888888889
german,150,3,NaiveLtf,0.7000000000000001,0.00206201,0.004625566,3,0.28,0.29523809523809524
german,150,3,NaiveLtf,0.8,0.002062165,0.004825812,3,0.24,0.33333333333333354
heart,150,3,NaiveLtf,0.1,0.002070359,0.008858046,10,0.65,-0.022222222222222185
heart,150,3,NaiveLtf,0.2,0.002104744,0.011063205,12,0.5,0.000000000000000013877787807814457
heart,150,3,NaiveLtf,0.30000000000000004,0.002095098,0.011363881,11,0.39,-0.022222222222222206
heart,150,3,NaiveLtf,0.4,0.0020594,0.010300996,9,0.53,0.000000000000000006938893903907228
heart,150,3,NaiveLtf,0.5,0.002109835,0.005175186,4,0.21,0.14666666666666667
heart,150,3,NaiveLtf,0.6000000000000001,0.002123416,0.004633135,3,0.21,0.2888888888888888
heart,150,3,NaiveLtf,0.7000000000000001,0.00209779,0.003334985,2,0.21,0.3714285714285716
heart,150,3,NaiveLtf,0.8,0.002179008,0.003441272,2,0.21,0.3833333333333337
image,150,3,NaiveLtf,0.1,0.00208198,0.006342729,7,0.46,-0.1333333333333333
image,150,3,NaiveLtf,0.2,0.002056126,0.005187057,5,0.44,-0.03333333333333329
image,150,3,NaiveLtf,0.30000000000000004,0.002058684,0.009209637,9,0.44,-0.022222222222222074
image,150,3,NaiveLtf,0.4,0.002055097,0.007847979,7,0.46,-0.06666666666666529
image,150,3,NaiveLtf,0.5,0.002056078,0.006289191,5,0.46,-0.12000000000000136
image,150,3,NaiveLtf,0.6000000000000001,0.002096644,0.009998133,8,0.46,-0.016666666666666656
image,150,3,NaiveLtf,0.7000000000000001,0.00208237,0.004521145,3,0.29,0.08571428571428569
image,150,3,NaiveLtf,0.8,0.002059187,0.006287606,4,0.29,0.19999999999999996
ringnorm,150,3,NaiveLtf,0.1,0.002080779,0.007183794,8,0.58,-0.0666666666666668
ringnorm,150,3,NaiveLtf,0.2,0.002064657,0.011194424,12,0.58,-0.06666666666666646
ringnorm,150,3,NaiveLtf,0.30000000000000004,0.00209947,0.013551508,13,0.58,-0.04444444444444443
ringnorm,150,3,NaiveLtf,0.4,0.002063485,0.006003925,5,0.58,-0.033333333333333354
ringnorm,150,3,NaiveLtf,0.5,0.002084043,0.009768894,8,0.3,-0.004444444444443989
ringnorm,150,3,NaiveLtf,0.6000000000000001,0.00209232,0.00775099,6,0.35,0.02222222222222221
ringnorm,150,3,NaiveLtf,0.7000000000000001,0.002065994,0.003073108,2,0.35,0.0857142857142857
ringnorm,150,3,NaiveLtf,0.8,0.00206442,0.003218284,2,0.35,0.200000000000001
splice,150,3,NaiveLtf,0.1,0.002062907,0.008230682,10,0.55,-0.06666666666666686
splice,150,3,NaiveLtf,0.2,0.002068196,0.008041136,9,0.55,-0.000000000000000013877787807814457
splice,150,3,NaiveLtf,0.30000000000000004,0.002065869,0.008764241,9,0.55,-0.04444444444444443
splice,150,3,NaiveLtf,0.4,0.002057868,0.007430051,7,0.55,-0.18333333333333263
splice,150,3,NaiveLtf,0.5,0.002075967,0.00928136,8,0.55,-0.026666666666666686
splice,150,3,NaiveLtf,0.6000000000000001,0.002058345,0.009310918,8,0.55,0.0000000000000000242861286636753
splice,150,3,NaiveLtf,0.7000000000000001,0.00206884,0.008659157,7,0.55,0.009523809523810852
splice,150,3,NaiveLtf,0.8,0.002078587,0.010758239,8,0.55,-0.04999999999999999
thyroid,150,3,NaiveLtf,0.1,0.002055708,0.007704821,9,0.71,-0.1666666666666668
thyroid,150,3,NaiveLtf,0.2,0.002085167,0.006624449,7,0.71,-0.06666666666666665
thyroid,150,3,NaiveLtf,0.30000000000000004,0.002081221,0.005556308,5,0.71,-0.08888888888888885
thyroid,150,3,NaiveLtf,0.4,0.002070616,0.007953707,7,0.71,-0.000000000000000027755575615628914
thyroid,150,3,NaiveLtf,0.5,0.002104568,0.006358533,5,0.14,0.06666666666666665
thyroid,150,3,NaiveLtf,0.6000000000000001,0.002058448,0.003071017,2,0.22,0.0888888888888889
thyroid,150,3,NaiveLtf,0.7000000000000001,0.002063275,0.003251984,2,0.22,0.25714285714285706
thyroid,150,3,NaiveLtf,0.8,0.002064996,0.00344992,2,0.22,0.3500000000000013
twonorm,150,3,NaiveLtf,0.1,0.002066403,0.014842408,18,0.51,-0.06666666666666649
twonorm,150,3,NaiveLtf,0.2,0.002061714,0.007604725,8,0.51,-0.000000000000000013877787807814457
twonorm,150,3,NaiveLtf,0.30000000000000004,0.002081723,0.01197318,12,0.51,0.000000000000000006938893903907228
twonorm,150,3,NaiveLtf,0.4,0.002072211,0.00592909,5,0.18,-0.06666666666666665
twonorm,150,3,NaiveLtf,0.5,0.002067039,0.006607336,5,0.18,0.20000000000000004
twonorm,150,3,NaiveLtf,0.6000000000000001,0.002123442,0.006079917,4,0.18,0.33333333333333337
twonorm,150,3,NaiveLtf,0.7000000000000001,0.002064852,0.005035256,3,0.19,0.4285714285714288
twonorm,150,3,NaiveLtf,0.8,0.002087266,0.003660248,2,0.18,0.5000000000000018
waveform,150,3,NaiveLtf,0.1,0.002069466,0.008705246,11,0.69,0.000000000000000013877787807814457
waveform,150,3,NaiveLtf,0.2,0.002063908,0.005388735,6,0.69,-0.1333333333333334
waveform,150,3,NaiveLtf,0.30000000000000004,0.002086242,0.006745899,7,0.69,-0.1333333333333333
waveform,150,3,NaiveLtf,0.4,0.002066055,0.005542769,5,0.69,-0.000000000000000020816681711721685
waveform,150,3,NaiveLtf,0.5,0.002073252,0.008201153,7,0.69,-0.01333333333333469
waveform,150,3,NaiveLtf,0.6000000000000001,0.002059188,0.006457075,5,0.58,-0.03888888888888965
waveform,150,3,NaiveLtf,0.7000000000000001,0.002078799,0.00800482,6,0.69,-0.019047619047619042
waveform,150,3,NaiveLtf,0.8,0.002101895,0.004282644,3,0.35,0.09999999999999999
banana,150,2,NaiveLtf,0.1,0.00205166,0.006452937,6,0.57,-0.000000000000000027755575615628914
banana,150,2,NaiveLtf,0.2,0.002037502,0.00989929,11,0.57,-0.06666666666666662
banana,150,2,NaiveLtf,0.30000000000000004,0.002038299,0.010895321,11,0.57,-0.0888888888888889
banana,150,2,NaiveLtf,0.4,0.002043256,0.00783251,7,0.57,-0.20000000000000068
banana,150,2,NaiveLtf,0.5,0.00206543,0.009473573,8,0.57,-0.10666666666666669
banana,150,2,NaiveLtf,0.6000000000000001,0.002034585,0.009022466,7,0.57,-0.02222222222222184
banana,150,2,NaiveLtf,0.7000000000000001,0.002033633,0.009220844,7,0.57,-0.01904761904761905
banana,150,2,NaiveLtf,0.8,0.002040643,0.006851354,5,0.35,0.016666666666667718
breast_cancer,150,3,NaiveLtf,0.1,0.002044627,0.012168521,15,0.69,0.00000000000000004163336342344337
breast_cancer,150,3,NaiveLtf,0.2,0.002044583,0.006596652,7,0.69,-0.13333333333333333
breast_cancer,150,3,NaiveLtf,0.30000000000000004,0.002072637,0.006508526,6,0.69,0.000000000000000006938893903907228
breast_cancer,150,3,NaiveLtf,0.4,0.00204286,0.009397249,8,0.69,-0.033333333333334256
breast_cancer,150,3,NaiveLtf,0.5,0.002065397,0.005135119,4,0.68,-0.040000000000001354
breast_cancer,150,3,NaiveLtf,0.6000000000000001,0.0020638,0.007059656,5,0.31,0.08888888888888889
breast_cancer,150,3,NaiveLtf,0.7000000000000001,0.002042374,0.004676254,3,0.31,0.21904761904761896
breast_cancer,150,3,NaiveLtf,0.8,0.002040567,0.003210661,2,0.31,0.3166666666666679
diabetis,150,3,NaiveLtf,0.1,0.002048099,0.008071081,9,0.7,-0.06666666666666667
diabetis,150,3,NaiveLtf,0.2,0.002091194,0.008094978,8,0.69,-0.06666666666666668
diabetis,150,3,NaiveLtf,0.30000000000000004,0.002079187,0.010789243,10,0.7,0.000000000000000006938893903907228
diabetis,150,3,NaiveLtf,0.4,0.002046268,0.006319775,5,0.7,-0.09999999999999998
diabetis,150,3,NaiveLtf,0.5,0.002046872,0.00804688,6,0.22,0.09333333333333334
diabetis,150,3,NaiveLtf,0.6000000000000001,0.002102766,0.003554927,2,0.2,0.24444444444444433
diabetis,150,3,NaiveLtf,0.7000000000000001,0.002033416,0.003757525,2,0.2,0.4095238095238098
diabetis,150,3,NaiveLtf,0.8,0.002042338,0.003940382,2,0.2,0.4500000000000016
flare_solar,144,3,NaiveLtf,0.1,0.002057061,0.004031776,5,0.36,0
flare_solar,144,3,NaiveLtf,0.2,0.002041729,0.004398983,5,0.36,0.000000000000000013877787807814457
flare_solar,144,3,NaiveLtf,0.30000000000000004,0.002038885,0.004713928,5,0.36,0.000000000000000020816681711721685
flare_solar,144,3,NaiveLtf,0.4,0.002036031,0.005357228,5,0.36,-0.06249999999999877
flare_solar,144,3,NaiveLtf,0.5,0.002037811,0.010257493,9,0.36,-0.02777777777777777
flare_solar,144,3,NaiveLtf,0.6000000000000001,0.002050696,0.007646118,6,0.36,-0.005787037037037025
flare_solar,144,3,NaiveLtf,0.7000000000000001,0.002041382,0.003871532,3,0.36,-0.011904761904760516
flare_solar,144,3,NaiveLtf,0.8,0.002038956,0.002819938,2,0.36,0.13194444444444237
german,150,3,NaiveLtf,0.1,0.002042603,0.008297856,10,0.59,0.000000000000000027755575615628914
german,150,3,NaiveLtf,0.2,0.002045068,0.005949566,6,0.59,-0.000000000000000013877787807814457
german,150,3,NaiveLtf,0.30000000000000004,0.002040481,0.008066943,7,0.47,-0.04444444444444418
german,150,3,NaiveLtf,0.4,0.002046323,0.006297163,5,0.59,0.000000000000000006938893903907228
german,150,3,NaiveLtf,0.5,0.00205228,0.007996299,6,0.34,0.01333333333333333
german,150,3,NaiveLtf,0.6000000000000001,0.002071537,0.007123368,5,0.29,0.08888888888888889
german,150,3,NaiveLtf,0.7000000000000001,0.002035959,0.004832288,3,0.28,0.29523809523809524
german,150,3,NaiveLtf,0.8,0.002033313,0.005135242,3,0.24,0.33333333333333354
heart,150,3,NaiveLtf,0.1,0.002044846,0.009009644,10,0.65,-0.022222222222222185
heart,150,3,NaiveLtf,0.2,0.002040583,0.010450158,11,0.5,0.000000000000000013877787807814457
heart,150,3,NaiveLtf,0.30000000000000004,0.002040004,0.011899454,11,0.39,-0.022222222222222206
heart,150,3,NaiveLtf,0.4,0.001977531,0.016275215,14,0.53,-0.033333333333333326
heart,150,3,NaiveLtf,0.5,0.00204401,0.005450629,4,0.21,0.14666666666666667
heart,150,3,NaiveLtf,0.6000000000000001,0.002037586,0.004889513,3,0.21,0.2888888888888888
heart,150,3,NaiveLtf,0.7000000000000001,0.002037385,0.003415589,2,0.21,0.3714285714285716
heart,150,3,NaiveLtf,0.8,0.002042311,0.003586559,2,0.21,0.3833333333333337
image,150,3,NaiveLtf,0.1,0.002106661,0.006600411,7,0.46,-0.1333333333333333
image,150,3,NaiveLtf,0.2,0.002038547,0.005595384,5,0.44,-0.03333333333333329
image,150,3,NaiveLtf,0.30000000000000004,0.002045483,0.009667754,9,0.44,-0.022222222222222074
image,150,3,NaiveLtf,0.4,0.002045824,0.008818349,7,0.46,-0.03333333333333263
image,150,3,NaiveLtf,0.5,0.002045077,0.00671682,5,0.46,-0.12000000000000136
