dataset,sample_size,feature_size,name,running_time,node,edge,path
banana,150,2,ZddLtf,110.490023329,309747,619492,44704
breast_cancer,150,3,ZddLtf,189.094365497,418279,836556,57644
diabetis,150,3,ZddLtf,5333.745860431,6906977,13813952,2163674
flare_solar,144,3,ZddLtf,2.919726887,22986,45970,876
german,150,3,ZddLtf,795.330068374,1307627,2615252,265410
heart,150,3,ZddLtf,961.179728098,1744386,3488770,365658
image,150,3,ZddLtf,1687.236868688,2016349,4032696,704836
ringnorm,150,3,ZddLtf,5385.101843831,7124390,14248778,2205800
splice,150,3,ZddLtf,164.783851446,567296,1134590,48688
thyroid,150,3,ZddLtf,5556.171767176,7149108,14298214,2156038
titanic,24,3,ZddLtf,0.362896638,1337,2672,924
twonorm,150,3,ZddLtf,5329.108137566,7195472,14390942,2205800
waveform,150,3,ZddLtf,5347.340753578,7158792,14317582,2205792
